timestamp,type,value,rr_interval_sec
2026-03-03 10:52:48.222,SpO2,303091962890128670598321578,
2026-03-03 10:52:48.344,SpO2,132014699501918394195596714,
2026-03-03 10:52:48.433,SpO2,234782875940293898784429482,
2026-03-03 10:52:48.523,SpO2,141662438814412739177305514,
2026-03-03 10:52:48.643,SpO2,258899760892840069374629290,
2026-03-03 10:52:48.733,SpO2,34049003032520771117209002,
2026-03-03 10:52:48.823,SpO2,128435312088881239629452714,
2026-03-03 10:52:48.831,heartbeat,76,0.7666015625
2026-03-03 10:52:48.831,heartbeat,76,0.7578125
2026-03-03 10:52:48.943,SpO2,37687753514220946522592682,
2026-03-03 10:52:49.032,SpO2,108902919691175711533389226,
2026-03-03 10:52:49.123,SpO2,11373574424548046009195779498,
2026-03-03 10:52:49.124,SpO2,69246155756688810,
2026-03-03 10:52:49.183,SpO2,325843287320346378589610,
2026-03-03 10:52:49.184,SpO2,268528462223329409792693674,
2026-03-03 10:52:49.242,SpO2,96875255605829403625346474,
2026-03-03 10:52:49.362,SpO2,76314035046209395434149290,
2026-03-03 10:52:49.484,SpO2,89668979765541615172539818,
2026-03-03 10:52:49.543,SpO2,14834230720500055017477546,
2026-03-03 10:52:49.663,SpO2,146543189837926981413328298,
2026-03-03 10:52:49.753,SpO2,256529280998773276837631402,
2026-03-03 10:52:49.820,heartbeat,76,0.7431640625
2026-03-03 10:52:49.843,SpO2,275862667971063816081331626,
2026-03-03 10:52:49.933,SpO2,18333023079746230094353834,
2026-03-03 10:52:50.053,SpO2,63058519000552481441666474,
2026-03-03 10:52:50.143,SpO2,66771391182570783635768563114,
2026-03-03 10:52:50.145,SpO2,69246155756688810,
2026-03-03 10:52:50.173,SpO2,325843287320346378589610,
2026-03-03 10:52:50.174,SpO2,83667037084316549937845674,
2026-03-03 10:52:50.263,SpO2,267513968268648447912924586,
2026-03-03 10:52:50.353,SpO2,127209858567567306906359210,
2026-03-03 10:52:50.443,SpO2,71582631105549202088744362,
2026-03-03 10:52:50.593,SpO2,271060113853122924078126506,
2026-03-03 10:52:50.653,SpO2,100634759268844339056301482,
2026-03-03 10:52:50.744,SpO2,133218921692003724516349354,
2026-03-03 10:52:50.841,heartbeat,77,0.705078125
2026-03-03 10:52:50.841,heartbeat,77,0.6923828125
2026-03-03 10:52:50.893,SpO2,162252011947052395446359466,
2026-03-03 10:52:50.953,SpO2,103081093259075206140351914,
2026-03-03 10:52:51.073,SpO2,92115490159271795940611498,
2026-03-03 10:52:51.102,SpO2,41703105387042677493991429546,
2026-03-03 10:52:51.133,SpO2,69246155756688810,
2026-03-03 10:52:51.193,SpO2,325843287320346378589610,
2026-03-03 10:52:51.194,SpO2,78807722191031538591684010,
2026-03-03 10:52:51.253,SpO2,13502060759476468779537834,
2026-03-03 10:52:51.343,SpO2,104143033253408605331215786,
2026-03-03 10:52:51.463,SpO2,217782041849872326044112298,
2026-03-03 10:52:51.553,SpO2,294105391125109640629540266,
2026-03-03 10:52:51.674,SpO2,11221787541508030676817322,
2026-03-03 10:52:51.794,SpO2,127160070046450330056480170,
2026-03-03 10:52:51.830,heartbeat,78,0.6943359375
2026-03-03 10:52:51.854,SpO2,20779319887130474677491114,
2026-03-03 10:52:51.973,SpO2,199643469372587287814034858,
2026-03-03 10:52:52.063,SpO2,290293923565026507066660266,
2026-03-03 10:52:52.123,SpO2,51606625590645255250927113642,
2026-03-03 10:52:52.153,SpO2,69246155756688810,
2026-03-03 10:52:52.183,SpO2,325843287320346378589610,
2026-03-03 10:52:52.184,SpO2,217810375758844820345279914,
2026-03-03 10:52:52.242,SpO2,108011558255595405083366826,
2026-03-03 10:52:52.364,SpO2,35369479063891696925234602,
2026-03-03 10:52:52.453,SpO2,238409634880906765095884202,
2026-03-03 10:52:52.573,SpO2,88483943926869859857552810,
2026-03-03 10:52:52.663,SpO2,96889496999769083571295658,
2026-03-03 10:52:52.753,SpO2,251608278962671893804438954,
2026-03-03 10:52:52.821,heartbeat,80,0.693359375
2026-03-03 10:52:52.821,heartbeat,80,0.673828125
2026-03-03 10:52:52.873,SpO2,117602165831780885888718250,
2026-03-03 10:52:52.963,SpO2,199861605592446798964676010,
2026-03-03 10:52:53.053,SpO2,55871392365149614070781354,
2026-03-03 10:52:53.143,SpO2,51606625590645255250927113642,
2026-03-03 10:52:53.145,SpO2,69246155756688810,
2026-03-03 10:52:53.173,SpO2,325843287320346378589610,
2026-03-03 10:52:53.203,SpO2,187658454811169360637285802,
2026-03-03 10:52:53.263,SpO2,168258825437362290317809066,
2026-03-03 10:52:53.353,SpO2,229876059523577488434222506,
2026-03-03 10:52:53.473,SpO2,101753552778056057821812138,
2026-03-03 10:52:53.563,SpO2,173293478221430105018684842,
2026-03-03 10:52:53.684,SpO2,37190025419656389075097002,
2026-03-03 10:52:53.773,SpO2,217848414321287856416314794,
2026-03-03 10:52:53.840,heartbeat,80,0.6630859375
2026-03-03 10:52:53.864,SpO2,226325154607360274189997482,
2026-03-03 10:52:53.953,SpO2,169444046829141360087356842,
2026-03-03 10:52:54.074,SpO2,136769826317444093678933418,
2026-03-03 10:52:54.163,SpO2,20658124553170516157320353194,
2026-03-03 10:52:54.165,SpO2,69246155756688810,
2026-03-03 10:52:54.193,SpO2,325843287320346378589610,
2026-03-03 10:52:54.194,SpO2,134366104594812423717737898,
2026-03-03 10:52:54.283,SpO2,133422556307776604159825322,
2026-03-03 10:52:54.373,SpO2,10031881039570876823983530,
2026-03-03 10:52:54.463,SpO2,294020222801191972199421354,
2026-03-03 10:52:54.584,SpO2,25657709726833735067719082,
2026-03-03 10:52:54.674,SpO2,67889537168850715033949610,
2026-03-03 10:52:54.763,SpO2,52154482195904883999069610,
2026-03-03 10:52:54.831,heartbeat,81,0.6572265625
2026-03-03 10:52:54.913,SpO2,164575101649212648461391274,
2026-03-03 10:52:54.973,SpO2,193759714471712632039495082,
2026-03-03 10:52:55.063,SpO2,82633765211679927514912170,
2026-03-03 10:52:55.154,SpO2,20658124553170516157320353194,
2026-03-03 10:52:55.156,SpO2,69246155756688810,
2026-03-03 10:52:55.183,SpO2,325843287320346378589610,
2026-03-03 10:52:55.213,SpO2,296433454254859062080394666,
2026-03-03 10:52:55.273,SpO2,265020206903948092805961130,
2026-03-03 10:52:55.363,SpO2,304857961282962638274254250,
2026-03-03 10:52:55.484,SpO2,107750865906088793145824682,
2026-03-03 10:52:55.603,SpO2,160938842274554200122676650,
2026-03-03 10:52:55.693,SpO2,167011805571806038844200362,
2026-03-03 10:52:55.784,SpO2,7722771938224694960805290,
2026-03-03 10:52:55.851,heartbeat,83,0.6650390625
2026-03-03 10:52:55.851,heartbeat,83,0.7119140625
2026-03-03 10:52:55.874,SpO2,201632382345612639173825962,
2026-03-03 10:52:55.993,SpO2,213022211405389073753265578,
2026-03-03 10:52:56.083,SpO2,231160857958440434391799210,
2026-03-03 10:52:56.143,SpO2,20658124553170516157320353194,
2026-03-03 10:52:56.144,SpO2,69246155756688810,
2026-03-03 10:52:56.173,SpO2,325843287320346378589610,
2026-03-03 10:52:56.203,SpO2,169425083359496755089462698,
2026-03-03 10:52:56.293,SpO2,96861033022034484996822442,
2026-03-03 10:52:56.383,SpO2,79931349253003301432022442,
2026-03-03 10:52:56.503,SpO2,13516060679937994443937194,
2026-03-03 10:52:56.593,SpO2,254353213940486967676327338,
2026-03-03 10:52:56.683,SpO2,272309495193548477455881642,
2026-03-03 10:52:56.773,SpO2,227529283912668117273105834,
2026-03-03 10:52:56.840,heartbeat,84,0.7373046875
2026-03-03 10:52:56.923,SpO2,244435374657159222417905066,
